等待期,重大疾病保险金_给付数,重大疾病保险金_等待期,是否有多次给付_是否有多次给付给付次数,观察期
{'default': 180},1,{'default': 180},{'default': 1},"{'严重类风湿关节炎': '3月', '多发性硬化': '180日', '植物人': '30日', '语言能力丧失': '12月', '严重脑损伤': '180日', '瘫痪': '180日', '深度昏迷': '96时', '脑炎后遗症或脑膜炎后遗症': '180日', '终末期肾病': '90日', '脑中风后遗症': '180日'}"
无,无,无,无,无
{'default': 90},1,{'default': 90},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '严重多发性硬化': '180日', '持续植物人状态': '30日'}"
无,无,无,无,无
无,无,无,无,无
{'default': 90},1,{'default': 90},{'default': 1},"{'终末期肾病': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '语言能力丧失': '12月', '重症肌无力': '365日', '脊髓灰质炎': '180日', '植物人': '1月', '严重肠道疾病并发症': '3月', '埃博拉病毒感染': '30日', '胰岛素依赖型糖尿病Ｉ型糖尿病': '180日', '严重慢性复发性胰腺炎': '180日', '细菌性脑脊髓膜炎': '180日'}"
{'default': 0},1,{'default': 0},{'default': 1},无
{'default': 90},"重大疾病保险金,3;轻症疾病保险金,3;特定重大疾病保险金,1;长期护理保险金,120",{'default': 90},"{'身故或全残保险金': 1, '生命末期保险金': 1, '重大疾病保险金': 3, '轻症疾病保险金': 3, '特定重大疾病保险金': 1, '长期护理保险金': 120}",不详
{'default': 60},1,{'default': 60},{'default': 1},{'default': '60日'}
{'default': 180},1,{'default': 180},{'default': 1},不详
无,1,无,{'default': 1},无
"{'default': 90, '意外伤害': 0}",1,{'default': 90},{'default': 1},不详
"{'default': 90, '意外伤害': 0}",1,{'default': 90},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},"{'急性心肌梗': '90日', '脑中风后遗症': '180日', '终末期肾病': '90日', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '去皮质综合症': '1月', '严重肌营养不良症': '180日', '严重的多发性硬化': '180日', '严重类风湿性关节炎': '3月', '全身性重症肌无力': 'none', '严重心肌炎': '180日', '急性脊髓灰质炎': '180日', '坏死性筋膜炎': '6月', '原发性心肌病': '180日', '埃博拉病毒感染': '20日', '肺源性心脏病': '180日', '慢性复发性胰腺炎': '180日', '严重哮喘': '6月'}"
{'default': 180},"重大疾病保险金,1;轻症重大疾病保险金,2;额外保障特别保险金,1;额外特定重大疾病保险金,1;高残保险金,1",{'default': 180},"{'重大疾病保险金': 1, '轻症重大疾病保险金': 2, '额外保障特别保险金': 1, '额外特定重大疾病保险金': 1, '高残保险金': 1, '身故保险金': 1}",不详
无,1,无,{'default': 3},无
无,1,无,{'default': 1},不详
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},不详
"{'default': 90, '意外伤害': 0}",1,{'default': 90},{'default': 1},不详
不详,1,无,{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},无
无,1,无,{'default': 1},无
{'default': 365},1,{'default': 365},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 180},不详,{'default': 180},不详,不详
{'default': 365}," 癌症关爱保险金,1;癌症手术津贴,10;癌症放、化疗津贴,10;肝脏移植或造血干细胞移植津贴,2",{'default': 365},"{'癌症关爱保险金': 1, '癌症手术津贴': 10, '癌症放、化疗津贴': 10, '肝脏移植或造血干细胞移植津贴': 2}",不详
不详,"癌症手术津贴,10;,癌症放、化疗津贴,10;,肝脏移植或造血干细胞移植津贴,2;",{'default': 365},不详,不详
{'default': 90},2,{'default': 90},{'default': 2},不详
{'default': 90},2,{'default': 90},{'default': 2},不详
{'default': 365},1,{'default': 365},{'default': 1},不详
{'default': 90},1,{'default': 90},{'default': 1},不详
{'default': 365},2,{'default': 365},"{'癌症手术保险金': 2, '癌症放化疗': 10}",不详
{'default': 90},1,{'default': 90},{'default': 1},无
无,1,无,{'default': 1},不详
无,"癌症手术、肝脏移植术或造血干细胞移植术,2;癌症放化疗,10;",无,"{'癌症手术、肝脏移植术或造血干细胞移植术': 2, '癌症放化疗': 10}",不详
{'default': 180},1,{'default': 180},{'default': 1},不详
{'default': 365},不详,无,不限,无
{'default': 90},1,{'default': 90},{'default': 1},不详
不详,1,不详,{'default': 1},不详
"{'default': 90, '意外伤害': 0}",1,"{'default': 90, '意外伤害': 0}",{'default': 1},不详
{'default': 90},1,{'default': 90},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},{'default': '30日'}
{'default': 60},1,{'default': 60},{'default': 1},"{'急性心肌梗': '90日', '脑中风后遗症': '180日', '终末期肾病': '90日', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '去皮质综合症': '1月', '严重肌营养不良症': '180日', '严重的多发性硬化': '180日', '严重I型糖尿病': '180日', '重症肌无力': '365日', '持续植入状态': '30日'}"
"{'default': 90, '意外伤害': 0}",1,{'default': 90},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},"{'重度头部脑损伤': '180日', '急性心肌梗': '90日', '脑中风后遗症': '180日', '终末期肾病': '90日', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '去皮质综合症': '1月', '严重肌营养不良症': '180日', '严重的多发性硬化': '180日', '严重I型糖尿病': '180日', '重症肌无力': '365日', '持续植物状态': '30日', '严重心肌病': '180日', '坏死性筋膜炎': '180日'}"
"{'default': 365, '意外伤害': 0}",1,{'default': 365},{'default': 1},不详
{'default': 365},"癌症手术,2;肝脏或造血干细胞移植,2;癌症放化疗,10;",{'default': 365},"{'default': 2, '肝脏或造血干细胞移植': 2, '癌症放化疗': 10}",不详
{'default': 365},"癌症手术,2;癌症放化疗,10;肝脏或造血干细胞移植术,2;",{'default': 365},"{'癌症手术': 2, '癌症放化疗': 10, '肝脏或造血干细胞移植术': 2}",不详
{'default': 365},"癌症手术,2;癌症放化疗,10;肝脏或造血干细胞移植术,2;",{'default': 365},"{'癌症手术': 2, '癌症放化疗': 10, '肝脏或造血干细胞移植术': 2}",不详
{'default': 180},1,{'default': 180},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},不详
{'default': 180},1,"{'default': 180, '意外伤害': 0}",{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},不详
{'default': 365},1,{'default': 365},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},不详
{'default': 180},1,"{'default': 180, '意外伤害': 0}",{'default': 1},不详
{'default': 365},"癌症手术、放化疗,10;肝脏或造血干细胞移植术,2;",{'default': 365},"{'癌症手术、放化疗': 10, '肝脏或造血干细胞移植术': 2}",不详
{'default': 180},1,{'default': 180},{'default': 1},不详
{'default': 90},1,{'default': 90},{'default': 1},{'default': '90日'}
{'default': 180},1,{'default': 180},{'default': 1},{'default': '180日'}
{'default': 365},1,{'default': 365},{'default': 1},{'default': '365日'}
"{'default': 90, '意外伤害': 0}",1,{'default': 90},{'default': 1},不详
{'default': 180},1,{'default': 180},无,无
{'default': 180},1,"{'default': 180, '意外伤害': 0}",{'default': 1},不详
{'default': 120},1,{'default': 120},{'default': 1},{'default': '120日'}
{'default': 180},1,{'default': 180},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},{'恶性肿瘤': '180日'}
{'default': 90},1,{'default': 90},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},{'恶性肿瘤、特定恶性肿瘤': '30日'}
{'default': 180},1,{'default': 180},{'default': 1},{'恶性肿瘤': '30日'}
{'default': 180},1,{'default': 180},{'default': 1},{'default': '180日'}
{'default': 180},1,{'default': 180},{'default': 1},{'恶性肿瘤、特定恶性肿瘤': '30日'}
{'default': 0},1,{'default': 0},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},{'癌症': '180日'}
{'default': 180},1,{'default': 180},{'default': 1},"{'癌症': '180', '特定癌症': '180', '原位癌': '180'}"
{'default': 180},1,{'default': 180},{'default': 1},{'癌症': '180日'}
{'default': 60},1,{'default': 60},{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},"{'恶性肿瘤': '180日', '特定恶性肿瘤': '180日'}"
{'default': 180},1,{'default': 180},{'default': 1},{'default': '180日'}
{'default': 365},1,{'default': 365},{'default': 1},{'癌症': '365日'}
{'default': 365},1,{'default': 365},{'default': 1},{}
{'default': 90},1,{'default': 90},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},{'恶性肿瘤': '180日'}
{'default': 180},1,{'default': 180},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},{'恶性肿瘤、原位癌': '180日'}
{'default': 180},"后续关爱,每个被保险人生存的保单周年日;恶性肿瘤手术,2;恶性肿瘤放化疗,10;恶性肿瘤住院,1000天;肝脏或造血干细胞移植术,2;",{'default': 180},{'default': 2},不详
{'default': 90},1,{'default': 90},{'default': 1},{'男：肺癌、肝癌、胃癌、女：胃癌、乳腺癌、宫颈癌': '90日'}
{'default': 180},1,{'default': 180},{'default': 1},{'恶性肿瘤/特定恶性肿瘤': '30日'}
"{'原位癌、癌症、特定癌症': 180, '身故、全残、意外伤害': 0}","原位癌,癌症,特定癌症,1;",{'原位癌、癌症、特定癌症': 180},{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},{'原位癌、癌症': '180日'}
{'default': 180},1,{'default': 180},{'default': 1},{'少儿特定疾病': '30日'}
{'default': 365},1,{'default': 365},{'default': 1},{'子宫原位癌、子宫颈原位癌、乳腺原位癌、卵巢原位癌、输卵管原位癌、阴道原位癌、女性特定器官癌症、乳腺癌': '365日'}
{'default': 90},1,{'default': 90},{'default': 1},无
无,1,无,{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},"{'脑炎后遗症或脑膜炎后遗症': '180日', '1型糖尿病': '180日'}"
无,无,无,无,无
{'default': 90},1,{'default': 90},{'default': 1},{'肝癌、失代偿性肝硬化': '90日'}
{'default': 180},1,{'default': 180},{'default': 1},{'急性心肌梗塞、脑中风后遗症、终末期肾病或称慢性肾功能衰竭尿毒症期、截肢、视力丧失': '180日'}
{'default': 15},无,无,{'default': 1},无
"{'女性妊娠特定疾病保险金': 30, '分娩身故保险金': None}",不详,"{'女性妊娠特定疾病保险金': 30, '先天性疾病保险金': 28}",不详,不详
{'default': 90},1,{'default': 90},{'default': 1},"{'终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脊髓灰质炎': '180日'}"
{'default': 90},1,{'default': 90},{'default': 1},{'乳腺癌、女性特定妇科癌症、系统性红斑狼疮肾炎、女性原位癌、意外面部整形': '90日'}
{'default': 10},1,{'default': 10},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 30},1,{'default': 30},{'default': 1},无
{'default': 30},1,{'default': 30},{'default': 1},无
{'default': 30},1,{'default': 30},{'default': 1},无
{'default': 30},1,{'default': 30},{'default': 1},无
{'default': 30},1,{'default': 30},{'default': 1},无
{'default': 30},1,{'default': 30},{'default': 1},无
{'default': 30},1,{'default': 30},{'default': 1},无
{'default': 30},1,{'default': 30},{'default': 1},无
"{'疾病终末期阶段保险金': 180, '重大疾病保险金': 90, '身故保险金、全残保险金、老年长期护理保险金': 0}",1,"{'疾病终末期阶段保险金': 180, '重大疾病保险金': 90, '身故保险金、全残保险金、老年长期护理保险金': 0}",{'default': 1},"{'植物人状态': '30日', '急性心肌梗塞、终末期肾病': '90日', '脑中风后遗症、脑炎后遗症或脑膜炎后遗症、严重脑损伤、瘫痪、多发性硬化症、重度I型糖尿病': '180日', '语言能力丧失': '365日'}"
{'其他': 0},1,{'其他': 0},"{'老年长期护理保险金': 120, '其他': 1}","{'植物人状态': '30日', '急性心肌梗塞、终末期肾病': '90日', '脑中风后遗症、脑炎后遗症或脑膜炎后遗症、严重脑损伤、瘫痪、多发性硬化症、重度I型糖尿病': '180日', '语言能力丧失': '365日'}"
无,无,无,{'default': 1},无
{'default': 0},1,{'default': 0},{'default': 1},{'先日性心脏病给付': '19周'}
{'default': 90},1,{'default': 90},{'default': 1},"{'default': 'none', '男性特定疾病包括首次原发于男性的肺、胰脏、前列腺和睾丸的恶性肿瘤': '90日'}"
{'default': 90},1,{'default': 90},{'default': 1},{'default': 'none'}
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},{'乳腺癌、子宫颈癌、子宫内膜癌、卵巢癌、原发性外阴癌、原发性阴道癌、系统性红斑狼疮、髋部骨折、骨质疏松症、子宫全切除术、子宫颈癌手术治疗、女性外阴癌手术治疗、阴道癌手术治疗、子宫肌瘤手术治疗、输卵管或卵巢全切除术、卵巢及输卵管良性肿瘤手术治疗、单或双侧乳癌根治术、子宫脱垂手术治疗、子宫破裂手术治疗': '180日'}
无,1,无,{'default': 1},无
"{'第一类疾病': 90, '第二类疾病': 366}",24,"{'第一类疾病': 90, '第二类疾病': 366}",{'default': 24},"{'急性心肌梗塞': '90日', '脑中风后遗症、轻微脑中风': '180日'}"
{'default': 90},1,{'default': 90},{'default': 1},{'女性乳腺癌': '90日'}
{'default': 90},1,{'default': 90},{'default': 1},{'原发性妇科癌': '90日'}
无,1,无,{'default': 1},无
{'default': 30},1,{'default': 30},{'default': 1},{'女性特定疾病': '30日'}
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 10},1,{'default': 10},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},无
约定,1,约定,{'default': 1},{'先日性畸形': '30日'}
{'default': 30},1,{'default': 30},{'default': 1},无
{'default': 30},1,{'default': 30},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},{'原发性妇科癌、系统性红斑狼疮、女性原位癌、意外面部整形术、子宫全切手术、全乳房切除手术': '90日'}
{'default': 90},不详,{'default': 90},不限,无
{'default': 180},1,{'default': 180},{'default': 1},"{'default': 'none', '严重哮喘': '180'}"
{'default': 180},1,{'default': 180},{'default': 1},"{'default': 'none', '临床分期为I期或更轻分期的乳头状甲状腺癌及滤泡状甲状腺癌': '180日'}"
{'default': 180},1,{'default': 180},无,{'急性心肌梗塞、脑中风后遗症、终末期肾病或称慢性肾功能衰竭尿毒症期、截肢、视力丧失': '180日'}
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},"{'default': 'none', '乳腺癌': '90日'}"
{'default': 180},1,{'default': 180},{'default': 1},{'脑中风后遗症、终末期肾病或称慢性肾功能衰竭尿毒症期、截肢、双目失明': '180日'}
"{'本合同所定义的任何一种或多种疾病、全残、进入长期护理状态或身故': 180, '意外事故': 0}",1,"{'轻症疾病保险金、重大疾病保险金、癌症保险金、特定心脑血管疾病保险金、护理关爱保险金': 180, '意外伤害': 0}",{'default': 1},{'长期护理状态': '90日'}
{'default': 90},1,{'default': 90},{'default': 1},{'重度双向情感障碍、乳腺癌、原发于女性子宫、宫颈、卵巢、输卵管、阴道和外阴的恶性肿瘤、系统性红斑狼疮累及肾脏严重的狼疮性肾炎': '90日'}
{'default': 180},1,"{'意外伤害': 0, '其他': 180}",{'default': 1},"{'急性心肌梗塞、严重心肌炎': '90', '植物人状态、坏死性筋膜炎、慢性复发性胰腺炎、严重川崎病、胰岛素依赖型糖尿病、脑中风后遗症、脑炎后遗症或脑膜炎后遗症、瘫痪、严重脑损伤、多发性硬化症': '180', '语言能力丧失、严重幼年型类风湿关节炎': '365'}"
{'default': 90},1,{'default': 90},无,无
{'default': 90},1,{'default': 90},{'default': 1},{'白血病': '90日'}
{'default': 90},1,{'default': 90},{'default': 1},{'特定一类疾病': '90日'}
{'default': 90},1,{'default': 90},{'default': 1},{'恶性肿瘤': '90'}
{'default': 180},无,{'default': 180},无,"{'特定重大疾病': '30日', '新生儿先日性疾病': '28日'}"
{'default': 365},1,{'default': 365},{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},无
"{'重大疾病': 180, '意外伤害': 0}",1,{'意外伤害': 0},{'default': 1},不详
"{'生命关爱提前给付保险金': 365, '重大疾病保险金、男性/女性特定重大疾病保险金、长期护理保险金和轻症疾病保险金': 90}","长期护理,120","{'生命关爱提前给付保险金': 365, '重大疾病保险金、男性/女性特定重大疾病保险金、长期护理保险金和轻症疾病保险金': 90}",{'长期护理': 120},{'男性/女性特定重大疾病': '30日'}
{'default': 180},"特定疾病关爱提前给付保险金,3",{'default': 180},{'特定疾病关爱提前给付保险金': 3},无
{'default': 180},1,{'default': 180},{'default': 1},无
"{'default': 30, '意外伤害': 0}",1,{'default': 30},{'default': 1},{'重大疾病所有': '28日'}
"{'default': 30, '意外伤害': 0}",1,{'default': 30},{'default': 1},{'重大疾病': '28日'}
{'default': 180},1,{'default': 180},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '严重多发性硬化症': '180日'}"
{'default': 90},2,{'default': 90},{'default': 2},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '植物人状态': '30日', '多发性硬化症': '6月', '原发性心肌病': '180日', '严重的类风湿性关节炎': '6月'}"
{'default': 90},1,{'default': 90},{'default': 1},无
无,1,无,{'default': 1},"{'慢性肾功能衰竭尿毒症期': '8周', '病毒性脑炎': '6月', '化脓性脑炎': '6月', 'I型糖尿病': '6月', '重症脑损伤': '6月'}"
{'default': 180},1,"{'因意外伤害': 0, '其他': 180}",{'default': 1},"{'急性心肌梗塞、终末期肾病或称慢性肾功能衰竭尿毒症期': '90', '脑中风后遗症、瘫痪、永久性完全失能': '180、'}"
{'default': 90},无,{'default': 90},无,无
{'default': 180},2,"{'default': 180, '意外伤害': 0}",{'default': 2},无
"{'因意外伤害': 0, '其他': 180}",1,"{'因意外伤害': 0, '其他': 180}",{'default': 1},"{'埃博拉病毒感染': '30日', '严重的心肌炎、急性心肌梗塞、终末期肾病': '90日', '植物人状态、脑中风后遗症、脑炎后遗症或脑膜炎后遗症、瘫痪、严重脑损伤': '180日', '重症肌无力、语言能力丧失': '365日'}"
{'default': 180},1,{'default': 180},{'default': 1},无
"{'意外导致的疾病或者身故': 0, '其他': 180}",1,"{'意外导致的疾病或者身故': 0, '其他': 180}",{'default': 1},"{'急性心肌梗塞、终末期肾病': '90', '脊髓灰质炎小儿麻痹症、脑中风后遗症、脑炎后遗症或脑膜炎后遗症、瘫痪、严重脑损伤、严重多发性硬化': '180', '语言能力丧失': '365'}"
"{'default': 90, '意外伤害': 0}",1,{'default': 30},{'default': 1},"{'重大疾病': '30日', '少儿重大疾病': '30日'}"
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},无
"{'default': 90, '意外伤害': 0}",1,{'default': 90},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},{'default': '30日'}
{'default': 365},"癌症手术,5;癌症放化疗,5;肝脏或造血干细胞移植,2;",{'default': 365},"{'癌症手术': 5, '癌症放化疗': 5, '肝脏或造血干细胞移植': 2}",无
{'default': 90},1,{'default': 90},{'default': 1},{'恶性肿瘤': '15日'}
{'default': 365},1,{'default': 365},{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},无
{'default': 365},"癌症手术、移植术,2;癌症放化疗,10;",{'default': 365},"{'癌症手术、移植术': 2, '癌症放化疗': 10}",无
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 365},1,{'default': 365},{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},无
{'default': 180},"恶性肿瘤手术、放化疗津贴,10;肝脏细胞或造血干细胞移植津贴,2;",{'default': 180},"{'恶性肿瘤手术、放化疗津贴': 10, '肝脏细胞或造血干细胞移植津贴': 2}",无
{'default': 180},"恶性肿瘤确诊,1;恶性肿瘤放化疗,5;肝脏移植或造血干细胞移植,1;其他,不限",{'default': 180},"{'恶性肿瘤确诊': 1, '恶性肿瘤放化疗年度1次累计': 5, '肝脏移植或造血干细胞移植': 1}",不详
"{'疾病终末期阶段保险金': 180, '重大疾病': 90, '意外伤害': 0}",1,"{'default': 90, '意外伤害': 0}",{'老年长期护理保险金': 120},无
"{'疾病终末期阶段保险金': 180, '重大疾病': 90, '意外伤害': 0}",1,"{'default': 90, '意外伤害': 0}",{'老年长期护理保险金': 120},不详
"{'疾病终末期阶段保险金': 180, '重大疾病': 90, '意外伤害': 0}",1,"{'default': 90, '意外伤害': 0}",{'老年长期护理保险金': 120},不详
"{'疾病终末期阶段保险金': 180, '重大疾病': 90, '意外伤害': 0}",不详,"{'default': 90, '意外伤害': 0}",{'老年长期护理保险金': 120},不详
"{'疾病终末期阶段保险金': 180, '重大疾病': 90, '因意外事故导致的': 0}",1,"{'疾病终末期阶段保险金': 180, '重大疾病': 90, '因意外事故导致的': 0}",{'default': 1},"{'植物人': '30日', '急性心肌梗塞、终末期肾病': '90日', '脑中风后遗症、脑炎后遗症或脑膜炎后遗症、瘫痪、严重脑损伤、I型糖尿病或胰岛素依赖型糖尿病、多样性硬化': '180日', '语言能力丧失': '365日'}"
"{'疾病终末期阶段保险金': 180, '第一类重大疾病保险金、儿童特定疾病保险金、第二类重大疾病保险金和白血病保险金': 90, '以意外导致的前两种情形+其他': 0}",不详,"{'疾病终末期阶段保险金': 180, '第一类重大疾病保险金、儿童特定疾病保险金、第二类重大疾病保险金和白血病保险金': 90, '以意外导致的前两种情形+其他': 0}",不详,"{'植物人': '30日', '急性心肌梗塞、终末期肾病': '90日', '脑中风后遗症、脑炎后遗症或脑膜炎后遗症、瘫痪、严重脑损伤、I型糖尿病或胰岛素依赖型糖尿病、多样性硬化': '180日', '语言能力丧失': '365日'}"
不详,1,不详,{'default': 1},不详
"{'疾病终末期阶段': 180, '第一类重大疾病保险金、儿童特定疾病保险金、第二类重大疾病保险金': 90}",1,"{'default': 90, '意外伤害': 0}",{'老年长期护理保险金': 120},不详
不详,1,不详,{'default': 1},{'先日性心脏病给付': '19周'}
"{'第一类特定疾病等待期': 90, '第二类特定疾病等待期': 366}",24,"{'第一类特定疾病等待期': 90, '第二类特定疾病等待期': 366}",{'default': 24},无
无,不详,无,不限,无
"{'特定癌症、系统性红斑狼疮、患疾病接受特定手术': 180, '其他': 0}",1,"{'特定癌症、系统性红斑狼疮、特定手术': 180, '其他': 0}",{'default': 1},不详
{'default': 90},不详,{'default': 90},不限,无
无,1,无,{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},无
{'癌症、特定轻度癌症、身故': 180},1,{'癌症、特定轻度癌症': 180},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},无
"{'特定疾病': 90, '意外伤害': 0}",1,"{'特定疾病': 90, '意外伤害': 0}",{'default': 1},不详
{'default': 30},1,{'default': 30},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},无
"{'特定疾病': 90, '意外伤害': 0}",1,"{'特定疾病': 90, '意外伤害': 0}",{'default': 1},不详
